Column1;Column2;Column3;Column32;Column4
C1;124.50;82.80;Bottom;0
C4;130.30;82.80;Bottom;180
C7;124.50;72.80;Bottom;0
C8;130.30;72.80;Bottom;180
C11;124.50;62.80;Bottom;0
C12;130.30;62.80;Bottom;180
IC2;125.40;79.00;Bottom;90
IC4;125.40;69.00;Bottom;90
IC6;125.40;59.00;Bottom;90
R9;194.00;26.40;Bottom;180
R11;209.80;18.60;Bottom;90
R12;208.00;25.10;Bottom;90
R13;201.10;23.70;Bottom;270
R14;190.90;16.80;Bottom;90
R15;154.70;57.20;Bottom;90
R16;148.30;82.90;Bottom;90
R57;208.00;28.20;Bottom;90
R58;194.00;42.60;Bottom;180
R69;209.80;34.80;Bottom;90
R70;208.00;41.30;Bottom;90
R85;201.10;39.90;Bottom;270
R86;190.90;33.00;Bottom;90
R87;205.90;27.60;Bottom;0
R117;208.00;44.60;Bottom;90
R118;194.00;59.00;Bottom;180
R120;209.80;51.20;Bottom;90
R121;208.00;57.70;Bottom;90
R122;201.10;56.30;Bottom;270
R123;190.90;49.40;Bottom;90
R142;205.90;44.00;Bottom;0
R149;208.00;61.00;Bottom;90
R150;194.00;75.40;Bottom;180
R161;209.80;67.60;Bottom;90
R162;208.00;74.10;Bottom;90
R163;201.10;72.70;Bottom;270
R164;190.90;65.80;Bottom;90
R165;205.90;60.40;Bottom;0
R175;208.00;77.40;Bottom;90
R177;209.80;84.00;Bottom;90
R196;168.50;26.40;Bottom;180
R198;184.30;18.60;Bottom;90
R199;182.50;25.10;Bottom;90
R200;175.60;23.70;Bottom;270
R201;165.40;16.80;Bottom;90
R208;182.50;28.20;Bottom;90
R209;168.50;42.60;Bottom;180
R211;184.30;34.80;Bottom;90
R212;182.50;41.30;Bottom;90
R213;175.60;39.90;Bottom;270
R214;165.40;33.00;Bottom;90
R215;180.40;27.60;Bottom;0
R222;182.50;44.60;Bottom;90
R223;168.50;59.00;Bottom;180
R225;184.30;51.20;Bottom;90
R226;182.50;57.70;Bottom;90
R227;175.60;56.30;Bottom;270
R228;165.40;49.40;Bottom;90
R229;180.40;44.00;Bottom;0
R236;182.50;61.00;Bottom;90
R237;168.50;75.40;Bottom;180
R239;184.30;67.60;Bottom;90
R240;182.50;74.10;Bottom;90
R241;175.60;72.70;Bottom;270
R242;165.40;65.80;Bottom;90
R243;180.40;60.40;Bottom;0
R247;182.50;77.40;Bottom;90
R249;184.30;84.00;Bottom;90
R250;182.50;90.50;Bottom;90
R251;175.60;89.10;Bottom;270
R252;180.40;76.80;Bottom;0
R253;208.00;90.50;Bottom;90
R254;201.10;89.10;Bottom;270
R255;205.90;76.80;Bottom;0
R262;219.50;26.40;Bottom;180
R264;235.30;18.60;Bottom;90
R265;233.50;25.10;Bottom;90
R266;226.60;23.70;Bottom;270
R267;216.40;16.80;Bottom;90
R274;233.50;28.20;Bottom;90
R275;219.50;42.60;Bottom;180
R277;235.30;34.80;Bottom;90
R278;233.50;41.30;Bottom;90
R279;226.60;39.90;Bottom;270
R280;216.40;33.00;Bottom;90
R281;231.40;27.60;Bottom;0
R288;233.50;44.60;Bottom;90
R289;219.50;59.00;Bottom;180
R291;235.30;51.20;Bottom;90
R292;233.50;57.70;Bottom;90
R293;226.60;56.30;Bottom;270
R294;216.40;49.40;Bottom;90
R295;231.40;44.00;Bottom;0
R302;233.50;61.00;Bottom;90
R303;219.50;75.40;Bottom;180
R305;235.30;67.60;Bottom;90
R306;233.50;74.10;Bottom;90
R307;226.60;72.70;Bottom;270
R308;216.40;65.80;Bottom;90
R309;231.40;60.40;Bottom;0
R313;233.50;77.40;Bottom;90
R315;235.30;84.00;Bottom;90
R316;233.50;90.50;Bottom;90
R317;226.60;89.10;Bottom;270
R318;231.40;76.80;Bottom;0
R379;130.50;77.60;Bottom;270
R383;130.50;67.60;Bottom;270
R387;130.50;57.60;Bottom;270
U$1;145.30;58.20;Bottom;180
U$2;148.80;58.20;Bottom;180
U$3;152.20;58.20;Bottom;180
U$4;206.70;20.10;Bottom;180
U$5;197.41;17.20;Bottom;270
U$6;196.69;22.00;Bottom;90
U$9;192.00;21.39;Bottom;0
U$10;194.80;17.29;Bottom;0
U$20;202.80;22.10;Bottom;270
U$31;202.50;15.70;Bottom;270
U$34;196.90;25.80;Bottom;0
U$35;194.30;23.80;Bottom;90
U$36;206.70;36.30;Bottom;180
U$57;197.41;33.40;Bottom;270
U$59;196.69;38.20;Bottom;90
U$62;192.00;37.59;Bottom;0
U$63;194.80;33.49;Bottom;0
U$70;202.80;38.30;Bottom;270
