Column1;Column2;Column3;Column32;Column4
R1;211.10;23.80;Top;180
R2;20.50;7.30;Top;180
R3;20.50;5.70;Top;180
R4;211.10;22.20;Top;180
R5;211.10;25.40;Top;180
R6;211.20;15.60;Top;180
R7;211.20;14.00;Top;180
R8;211.20;17.20;Top;180
R10;202.10;19.60;Top;90
R21;20.50;8.90;Top;180
R28;20.50;17.40;Top;180
R29;20.50;15.80;Top;180
R30;20.50;19.00;Top;180
R31;20.50;27.50;Top;180
R32;20.50;25.90;Top;180
R33;20.50;29.10;Top;180
R34;20.50;37.60;Top;180
R35;20.50;36.00;Top;180
R36;20.50;39.20;Top;180
R37;211.10;40.00;Top;180
R38;211.10;38.40;Top;180
R39;211.10;41.60;Top;180
R40;211.20;31.80;Top;180
R41;211.20;30.20;Top;180
R42;211.20;33.40;Top;180
R59;202.10;35.80;Top;90
R60;40.50;7.30;Top;180
R61;40.50;5.70;Top;180
R62;40.50;8.90;Top;180
R63;40.50;17.40;Top;180
R64;40.50;15.80;Top;180
R65;40.50;19.00;Top;180
R66;40.50;27.50;Top;180
R67;40.50;25.90;Top;180
R68;40.50;29.10;Top;180
R88;211.10;56.40;Top;180
R89;211.10;54.80;Top;180
R90;211.10;58.00;Top;180
R91;211.20;48.20;Top;180
R92;60.50;7.30;Top;180
R93;60.50;5.70;Top;180
R94;60.50;8.90;Top;180
R95;60.50;17.40;Top;180
R96;60.50;15.80;Top;180
R97;60.50;19.00;Top;180
R98;60.50;27.50;Top;180
R113;60.50;25.90;Top;180
R114;60.50;29.10;Top;180
R115;211.20;46.60;Top;180
R116;211.20;49.80;Top;180
R119;202.10;52.20;Top;90
R124;80.50;7.30;Top;180
R125;80.50;5.70;Top;180
R126;80.50;8.90;Top;180
R127;80.50;17.40;Top;180
R128;80.50;15.80;Top;180
R129;80.50;19.00;Top;180
R134;80.50;27.50;Top;180
R137;7.60;49.50;Top;90
R138;6.00;49.50;Top;90
R139;80.50;25.90;Top;180
R140;9.20;49.50;Top;90
R141;80.50;29.10;Top;180
R143;211.10;72.80;Top;180
R144;211.10;71.20;Top;180
R145;211.10;74.40;Top;180
R146;211.20;64.60;Top;180
R147;211.20;63.00;Top;180
R148;211.20;66.20;Top;180
R151;100.50;7.30;Top;180
R152;100.50;5.70;Top;180
R153;100.50;8.90;Top;180
R154;100.50;17.40;Top;180
R155;100.50;15.80;Top;180
R156;100.50;19.00;Top;180
R157;100.50;27.50;Top;180
R158;100.50;25.90;Top;180
R159;100.50;29.10;Top;180
R160;202.10;68.60;Top;90
R166;120.50;7.30;Top;180
R167;120.50;5.70;Top;180
R168;120.50;8.90;Top;180
R169;120.50;17.40;Top;180
R170;120.50;15.80;Top;180
R171;120.50;19.00;Top;180
R172;211.20;81.00;Top;180
R173;211.20;79.40;Top;180
R174;211.20;82.60;Top;180
R176;202.10;85.00;Top;90
R178;140.50;7.30;Top;180
R179;140.50;5.70;Top;180
R180;140.50;8.90;Top;180
R181;140.50;17.40;Top;180
R182;140.50;15.80;Top;180
R183;140.50;19.00;Top;180
R184;185.60;23.80;Top;180
R185;185.60;22.20;Top;180
R186;185.60;25.40;Top;180
R187;148.10;20.10;Top;270
R188;149.70;20.10;Top;270
R189;146.50;20.10;Top;270
R190;185.70;15.60;Top;180
R191;185.70;14.00;Top;180
R192;185.70;17.20;Top;180
R193;157.30;20.10;Top;270
R194;158.90;20.10;Top;270
R195;155.70;20.10;Top;270
R197;176.60;19.60;Top;90
R202;185.60;40.00;Top;180
R203;185.60;38.40;Top;180
R204;185.60;41.60;Top;180
R205;185.70;31.80;Top;180
R206;185.70;30.20;Top;180
R207;185.70;33.40;Top;180
R210;176.60;35.80;Top;90
R216;185.60;56.40;Top;180
R217;185.60;54.80;Top;180
R218;185.60;58.00;Top;180
R219;185.70;48.20;Top;180
R220;185.70;46.60;Top;180
R221;185.70;49.80;Top;180
R224;176.60;52.20;Top;90
R230;185.60;72.80;Top;180
R231;185.60;71.20;Top;180
R232;185.60;74.40;Top;180
R233;185.70;64.60;Top;180
R234;185.70;63.00;Top;180
R235;185.70;66.20;Top;180
R238;176.60;68.60;Top;90
R244;185.70;81.00;Top;180
R245;185.70;79.40;Top;180
R246;185.70;82.60;Top;180
R248;176.60;85.00;Top;90
R256;236.60;23.80;Top;180
R257;236.60;22.20;Top;180
R258;236.60;25.40;Top;180
R259;236.70;15.60;Top;180
R260;236.70;14.00;Top;180
R261;236.70;17.20;Top;180
R263;227.60;19.60;Top;90
R268;236.60;40.00;Top;180
R269;236.60;38.40;Top;180
R270;236.60;41.60;Top;180
R271;236.70;31.80;Top;180
R272;236.70;30.20;Top;180
R273;236.70;33.40;Top;180
R276;227.60;35.80;Top;90
R282;236.60;56.40;Top;180
R283;236.60;54.80;Top;180
R284;236.60;58.00;Top;180
R285;236.70;48.20;Top;180
R286;236.70;46.60;Top;180
R287;236.70;49.80;Top;180
R290;227.60;52.20;Top;90
R296;236.60;72.80;Top;180
R297;236.60;71.20;Top;180
R298;236.60;74.40;Top;180
R299;236.70;64.60;Top;180
R300;236.70;63.00;Top;180
R301;236.70;66.20;Top;180
R304;227.60;68.60;Top;90
R310;236.70;81.00;Top;180
R311;236.70;79.40;Top;180
R312;236.70;82.60;Top;180
R314;227.60;85.00;Top;90
R319;7.60;67.10;Top;270
R320;9.20;67.10;Top;270
R321;6.00;67.10;Top;270
R322;15.70;49.50;Top;90
R323;14.10;49.50;Top;90
R324;17.30;49.50;Top;90
R325;15.70;67.10;Top;270
R326;17.30;67.10;Top;270
R327;14.10;67.10;Top;270
R328;23.90;49.50;Top;90
R329;22.30;49.50;Top;90
R330;25.50;49.50;Top;90
R331;23.90;67.10;Top;270
R332;25.50;67.10;Top;270
R333;22.30;67.10;Top;270
