Qty;Designator;Footprint ;Comment ;LCSC Part #
3;C1, C7, C11;C2012;10n;C58456
141;R3, R4, R5, R7, R8, R21, R29, R30, R32, R33, R35, R36, R38, R39, R41, R42, R61, R62, R64, R65, R67, R68, R89, R90, R93, R94, R96, R97, R113, R114, R115, R116, R125, R126, R128, R129, R138, R139, R140, R141, R144, R145, R147, R148, R152, R153, R155, R156, R158, R159, R167, R168, R170, R171, R173, R174, R179, R180, R182, R183, R185, R186, R188, R189, R191, R192, R194, R195, R203, R204, R206, R207, R217, R218, R220, R221, R231, R232, R234, R235, R245, R246, R257, R258, R260, R261, R269, R270, R272, R273, R283, R284, R286, R287, R297, R298, R300, R301, R311, R312, R320, R321, R323, R324, R326, R327, R329, R330, R332, R333, R335, R336, R338, R339, R341, R342, R344, R345, R347, R348, R350, R351, R353, R354, R356, R357, R359, R360, R362, R363, R365, R366, R368, R369, R371, R372, R374, R375, R379, R383, R387;R0402;1k;C2991282
179;R1, R2, R6, R9, R10, R11, R12, R13, R14, R15, R16, R28, R31, R34, R37, R40, R57, R58, R59, R60, R63, R66, R69, R70, R85, R86, R87, R88, R91, R92, R95, R98, R117, R118, R119, R120, R121, R122, R123, R124, R127, R134, R137, R142, R143, R146, R149, R150, R151, R154, R157, R160, R161, R162, R163, R164, R165, R166, R169, R172, R175, R176, R177, R178, R181, R184, R187, R190, R193, R196, R197, R198, R199, R200, R201, R202, R205, R208, R209, R210, R211, R212, R213, R214, R215, R216, R219, R222, R223, R224, R225, R226, R227, R228, R229, R230, R233, R236, R237, R238, R239, R240, R241, R242, R243, R244, R247, R248, R249, R250, R251, R252, R253, R254, R255, R256, R259, R262, R263, R264, R265, R266, R267, R268, R271, R274, R275, R276, R277, R278, R279, R280, R281, R282, R285, R288, R289, R290, R291, R292, R293, R294, R295, R296, R299, R302, R303, R304, R305, R306, R307, R308, R309, R310, R313, R314, R315, R316, R317, R318, R319, R322, R325, R328, R331, R334, R337, R340, R343, R346, R349, R352, R355, R358, R361, R364, R367, R370, R373;R0402;1k5;C409724
3;C4, C8, C12;C3216;470p;C309496
15;U$4, U$36, U$99, U$148, U$166, U$181, U$196, U$211, U$224, U$239, U$249, U$262, U$277, U$292, U$307;TSSOP14;74HC02PW,118;C113211
27;U$9, U$10, U$62, U$63, U$125, U$126, U$158, U$159, U$171, U$172, U$186, U$187, U$201, U$202, U$215, U$229, U$230, U$243, U$254, U$255, U$267, U$268, U$282, U$283, U$297, U$298, U$311;SOT323;BAW56W,115;C426777
33;U$5, U$6, U$57, U$59, U$100, U$101, U$150, U$153, U$167, U$168, U$182, U$183, U$197, U$198, U$212, U$213, U$225, U$226, U$240, U$241, U$250, U$251, U$263, U$264, U$278, U$279, U$293, U$294, U$308, U$309, U$332, U$336, U$340;SOT323;BAV99W;C2836068
3;IC2, IC4, IC6;SO08;NE555;C18164403
30;U$7, U$8, U$60, U$61, U$102, U$124, U$154, U$157, U$169, U$170, U$184, U$185, U$199, U$200, U$214, U$220, U$227, U$228, U$242, U$248, U$252, U$253, U$265, U$266, U$280, U$281, U$295, U$296, U$310, U$316;SMD_MICROSWITCH;YTSD003A0502502B;C2844401
69;U$24, U$26, U$28, U$30, U$32, U$33, U$38, U$40, U$44, U$65, U$67, U$69, U$72, U$73, U$88, U$90, U$92, U$94, U$96, U$104, U$107, U$109, U$111, U$113, U$115, U$117, U$119, U$121, U$123, U$129, U$131, U$133, U$134, U$136, U$138, U$141, U$142, U$145, U$146, U$149, U$152, U$156, U$162, U$163, U$175, U$176, U$190, U$191, U$205, U$206, U$217, U$233, U$234, U$245, U$258, U$259, U$271, U$272, U$286, U$287, U$301, U$302, U$313, U$318, U$320, U$322, U$324, U$326, U$328;BIG_SMD_LED;TC5050RGB_LED;C784540
30;U$1, U$2, U$3, U$35, U$97, U$98, U$165, U$179, U$180, U$194, U$195, U$209, U$210, U$219, U$222, U$223, U$237, U$238, U$247, U$261, U$275, U$276, U$290, U$291, U$305, U$306, U$315, U$331, U$335, U$339;SOT23;SI2301;C306861
51;U$20, U$31, U$34, U$70, U$71, U$74, U$75, U$127, U$132, U$135, U$160, U$161, U$164, U$173, U$174, U$177, U$178, U$188, U$189, U$192, U$193, U$203, U$204, U$207, U$208, U$216, U$218, U$221, U$231, U$232, U$235, U$236, U$244, U$246, U$256, U$257, U$260, U$269, U$270, U$273, U$274, U$284, U$285, U$288, U$289, U$299, U$300, U$303, U$304, U$312, U$314;SOT23;SI2302S;C20628872
